===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 10
number of epochs: 10
max score: 200
===================================================================================
types array: [u'in', u'mlp', u'out']
weights array: [-1, 0.186, -1]
rewards array: [-1, 0.07, -1]
punishs array: [-1, -0.15, -1]
inner sizes_array: [array([], dtype=float64), array([34,  1]), array([], dtype=float64)]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.05
was_loaded: False
===================================================================================
simulation: 0, epoch: 0, score: 31
simulation: 0, epoch: 1, score: 39
simulation: 0, epoch: 2, score: 35
simulation: 0, epoch: 3, score: 40
simulation: 0, epoch: 4, score: 50
simulation: 0, epoch: 5, score: 43
simulation: 0, epoch: 6, score: 51
simulation: 0, epoch: 7, score: 54
simulation: 0, epoch: 8, score: 37
simulation: 0, epoch: 9, score: 34
simulation: 1, epoch: 0, score: 9
simulation: 1, epoch: 1, score: 13
simulation: 1, epoch: 2, score: 10
simulation: 1, epoch: 3, score: 9
simulation: 1, epoch: 4, score: 25
simulation: 1, epoch: 5, score: 54
simulation: 1, epoch: 6, score: 37
simulation: 1, epoch: 7, score: 28
simulation: 1, epoch: 8, score: 35
simulation: 1, epoch: 9, score: 49
simulation: 2, epoch: 0, score: 10
simulation: 2, epoch: 1, score: 9
simulation: 2, epoch: 2, score: 9
simulation: 2, epoch: 3, score: 11
simulation: 2, epoch: 4, score: 32
simulation: 2, epoch: 5, score: 25
simulation: 2, epoch: 6, score: 13
simulation: 2, epoch: 7, score: 31
simulation: 2, epoch: 8, score: 69
simulation: 2, epoch: 9, score: 132
simulation: 3, epoch: 0, score: 10
simulation: 3, epoch: 1, score: 10
simulation: 3, epoch: 2, score: 22
simulation: 3, epoch: 3, score: 9
simulation: 3, epoch: 4, score: 9
simulation: 3, epoch: 5, score: 147
simulation: 3, epoch: 6, score: 99
simulation: 3, epoch: 7, score: 34
simulation: 3, epoch: 8, score: 35
simulation: 3, epoch: 9, score: 130
simulation: 4, epoch: 0, score: 10
simulation: 4, epoch: 1, score: 148
simulation: 4, epoch: 2, score: 30
simulation: 4, epoch: 3, score: 54
simulation: 4, epoch: 4, score: 30
simulation: 4, epoch: 5, score: 36
simulation: 4, epoch: 6, score: 44
simulation: 4, epoch: 7, score: 200
simulation: 4, epoch: 8, score: 37
simulation: 4, epoch: 9, score: 59
simulation: 5, epoch: 0, score: 10
simulation: 5, epoch: 1, score: 15
simulation: 5, epoch: 2, score: 82
simulation: 5, epoch: 3, score: 49
simulation: 5, epoch: 4, score: 103
simulation: 5, epoch: 5, score: 52
simulation: 5, epoch: 6, score: 17
simulation: 5, epoch: 7, score: 19
simulation: 5, epoch: 8, score: 9
simulation: 5, epoch: 9, score: 9
simulation: 6, epoch: 0, score: 51
simulation: 6, epoch: 1, score: 64
simulation: 6, epoch: 2, score: 62
simulation: 6, epoch: 3, score: 132
simulation: 6, epoch: 4, score: 118
simulation: 6, epoch: 5, score: 95
simulation: 6, epoch: 6, score: 127
simulation: 6, epoch: 7, score: 114
simulation: 6, epoch: 8, score: 68
simulation: 6, epoch: 9, score: 52
simulation: 7, epoch: 0, score: 10
simulation: 7, epoch: 1, score: 10
simulation: 7, epoch: 2, score: 10
simulation: 7, epoch: 3, score: 20
simulation: 7, epoch: 4, score: 20
simulation: 7, epoch: 5, score: 15
simulation: 7, epoch: 6, score: 18
simulation: 7, epoch: 7, score: 23
simulation: 7, epoch: 8, score: 27
simulation: 7, epoch: 9, score: 24
simulation: 8, epoch: 0, score: 17
simulation: 8, epoch: 1, score: 23
simulation: 8, epoch: 2, score: 24
simulation: 8, epoch: 3, score: 65
simulation: 8, epoch: 4, score: 22
simulation: 8, epoch: 5, score: 16
simulation: 8, epoch: 6, score: 30
simulation: 8, epoch: 7, score: 20
simulation: 8, epoch: 8, score: 31
simulation: 8, epoch: 9, score: 30
simulation: 9, epoch: 0, score: 8
simulation: 9, epoch: 1, score: 9
simulation: 9, epoch: 2, score: 10
simulation: 9, epoch: 3, score: 9
simulation: 9, epoch: 4, score: 11
simulation: 9, epoch: 5, score: 13
simulation: 9, epoch: 6, score: 13
simulation: 9, epoch: 7, score: 25
simulation: 9, epoch: 8, score: 36
simulation: 9, epoch: 9, score: 36
