===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 10
number of epochs: 10
max score: 200
===================================================================================
types array: [u'in', u'mlp', u'out']
weights array: [-1, 0.186, -1]
rewards array: [-1, 0.07, -1]
punishs array: [-1, -0.15, -1]
inner sizes_array: [array([], dtype=float64), array([34,  1]), array([], dtype=float64)]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.05
was_loaded: False
===================================================================================
simulation: 0, epoch: 0, score: 10
simulation: 0, epoch: 1, score: 23
simulation: 0, epoch: 2, score: 60
simulation: 0, epoch: 3, score: 42
simulation: 0, epoch: 4, score: 35
simulation: 0, epoch: 5, score: 52
simulation: 0, epoch: 6, score: 39
simulation: 0, epoch: 7, score: 79
simulation: 0, epoch: 8, score: 46
simulation: 0, epoch: 9, score: 63
simulation: 1, epoch: 0, score: 9
simulation: 1, epoch: 1, score: 10
simulation: 1, epoch: 2, score: 9
simulation: 1, epoch: 3, score: 9
simulation: 1, epoch: 4, score: 8
simulation: 1, epoch: 5, score: 9
simulation: 1, epoch: 6, score: 11
simulation: 1, epoch: 7, score: 10
simulation: 1, epoch: 8, score: 9
simulation: 1, epoch: 9, score: 9
simulation: 2, epoch: 0, score: 73
simulation: 2, epoch: 1, score: 68
simulation: 2, epoch: 2, score: 140
simulation: 2, epoch: 3, score: 102
simulation: 2, epoch: 4, score: 24
simulation: 2, epoch: 5, score: 64
simulation: 2, epoch: 6, score: 78
simulation: 2, epoch: 7, score: 179
simulation: 2, epoch: 8, score: 147
simulation: 2, epoch: 9, score: 150
simulation: 3, epoch: 0, score: 16
simulation: 3, epoch: 1, score: 15
simulation: 3, epoch: 2, score: 27
simulation: 3, epoch: 3, score: 23
simulation: 3, epoch: 4, score: 15
simulation: 3, epoch: 5, score: 18
simulation: 3, epoch: 6, score: 24
simulation: 3, epoch: 7, score: 27
simulation: 3, epoch: 8, score: 74
simulation: 3, epoch: 9, score: 45
simulation: 4, epoch: 0, score: 9
simulation: 4, epoch: 1, score: 13
simulation: 4, epoch: 2, score: 9
simulation: 4, epoch: 3, score: 10
simulation: 4, epoch: 4, score: 34
simulation: 4, epoch: 5, score: 48
simulation: 4, epoch: 6, score: 32
simulation: 4, epoch: 7, score: 45
simulation: 4, epoch: 8, score: 31
simulation: 4, epoch: 9, score: 61
simulation: 5, epoch: 0, score: 17
simulation: 5, epoch: 1, score: 30
simulation: 5, epoch: 2, score: 70
simulation: 5, epoch: 3, score: 25
simulation: 5, epoch: 4, score: 39
simulation: 5, epoch: 5, score: 72
simulation: 5, epoch: 6, score: 52
simulation: 5, epoch: 7, score: 85
simulation: 5, epoch: 8, score: 41
simulation: 5, epoch: 9, score: 48
simulation: 6, epoch: 0, score: 10
simulation: 6, epoch: 1, score: 10
simulation: 6, epoch: 2, score: 28
simulation: 6, epoch: 3, score: 38
simulation: 6, epoch: 4, score: 37
simulation: 6, epoch: 5, score: 27
simulation: 6, epoch: 6, score: 32
simulation: 6, epoch: 7, score: 47
simulation: 6, epoch: 8, score: 58
simulation: 6, epoch: 9, score: 124
simulation: 7, epoch: 0, score: 28
simulation: 7, epoch: 1, score: 12
simulation: 7, epoch: 2, score: 27
simulation: 7, epoch: 3, score: 32
simulation: 7, epoch: 4, score: 25
simulation: 7, epoch: 5, score: 52
simulation: 7, epoch: 6, score: 66
simulation: 7, epoch: 7, score: 32
simulation: 7, epoch: 8, score: 71
simulation: 7, epoch: 9, score: 26
simulation: 8, epoch: 0, score: 9
simulation: 8, epoch: 1, score: 31
simulation: 8, epoch: 2, score: 33
simulation: 8, epoch: 3, score: 44
simulation: 8, epoch: 4, score: 61
simulation: 8, epoch: 5, score: 56
simulation: 8, epoch: 6, score: 29
simulation: 8, epoch: 7, score: 66
simulation: 8, epoch: 8, score: 37
simulation: 8, epoch: 9, score: 69
simulation: 9, epoch: 0, score: 42
simulation: 9, epoch: 1, score: 23
simulation: 9, epoch: 2, score: 32
simulation: 9, epoch: 3, score: 32
simulation: 9, epoch: 4, score: 76
simulation: 9, epoch: 5, score: 59
simulation: 9, epoch: 6, score: 25
simulation: 9, epoch: 7, score: 38
simulation: 9, epoch: 8, score: 26
simulation: 9, epoch: 9, score: 60
