===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 2
number of epochs: 100
max score: 200
===================================================================================
types array: ['in', 'mlp', 'out']
weights array: [-1, 0.25, -1]
rewards array: [-1, 5, -1]
punishs array: [-1, 1, -1]
inner sizes_array: [[], [2, 1], []]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.05
was_loaded: False
===================================================================================
simulation: 0, epoch: 0, score: 11
simulation: 0, epoch: 1, score: 10
simulation: 0, epoch: 2, score: 40
simulation: 0, epoch: 3, score: 12
simulation: 0, epoch: 4, score: 10
simulation: 0, epoch: 5, score: 37
simulation: 0, epoch: 6, score: 16
simulation: 0, epoch: 7, score: 12
simulation: 0, epoch: 8, score: 11
simulation: 0, epoch: 9, score: 34
simulation: 0, epoch: 10, score: 12
simulation: 0, epoch: 11, score: 40
simulation: 0, epoch: 12, score: 25
simulation: 0, epoch: 13, score: 34
simulation: 0, epoch: 14, score: 39
simulation: 0, epoch: 15, score: 32
simulation: 0, epoch: 16, score: 22
simulation: 0, epoch: 17, score: 14
simulation: 0, epoch: 18, score: 9
simulation: 0, epoch: 19, score: 56
simulation: 0, epoch: 20, score: 45
simulation: 0, epoch: 21, score: 37
simulation: 0, epoch: 22, score: 34
simulation: 0, epoch: 23, score: 57
simulation: 0, epoch: 24, score: 87
simulation: 0, epoch: 25, score: 36
simulation: 0, epoch: 26, score: 36
simulation: 0, epoch: 27, score: 37
simulation: 0, epoch: 28, score: 23
simulation: 0, epoch: 29, score: 28
simulation: 0, epoch: 30, score: 55
simulation: 0, epoch: 31, score: 59
simulation: 0, epoch: 32, score: 25
simulation: 0, epoch: 33, score: 28
simulation: 0, epoch: 34, score: 28
simulation: 0, epoch: 35, score: 30
simulation: 0, epoch: 36, score: 59
simulation: 0, epoch: 37, score: 52
simulation: 0, epoch: 38, score: 39
simulation: 0, epoch: 39, score: 53
simulation: 0, epoch: 40, score: 14
simulation: 0, epoch: 41, score: 31
simulation: 0, epoch: 42, score: 32
simulation: 0, epoch: 43, score: 79
simulation: 0, epoch: 44, score: 65
simulation: 0, epoch: 45, score: 14
simulation: 0, epoch: 46, score: 11
simulation: 0, epoch: 47, score: 49
simulation: 0, epoch: 48, score: 19
simulation: 0, epoch: 49, score: 28
simulation: 0, epoch: 50, score: 18
simulation: 0, epoch: 51, score: 22
simulation: 0, epoch: 52, score: 18
simulation: 0, epoch: 53, score: 26
simulation: 0, epoch: 54, score: 21
simulation: 0, epoch: 55, score: 13
simulation: 0, epoch: 56, score: 22
simulation: 0, epoch: 57, score: 26
simulation: 0, epoch: 58, score: 15
simulation: 0, epoch: 59, score: 18
simulation: 0, epoch: 60, score: 23
simulation: 0, epoch: 61, score: 54
simulation: 0, epoch: 62, score: 38
simulation: 0, epoch: 63, score: 27
simulation: 0, epoch: 64, score: 26
simulation: 0, epoch: 65, score: 23
simulation: 0, epoch: 66, score: 15
simulation: 0, epoch: 67, score: 19
simulation: 0, epoch: 68, score: 17
simulation: 0, epoch: 69, score: 20
simulation: 0, epoch: 70, score: 26
simulation: 0, epoch: 71, score: 14
simulation: 0, epoch: 72, score: 12
simulation: 0, epoch: 73, score: 15
simulation: 0, epoch: 74, score: 25
simulation: 0, epoch: 75, score: 16
simulation: 0, epoch: 76, score: 13
simulation: 0, epoch: 77, score: 13
simulation: 0, epoch: 78, score: 11
simulation: 0, epoch: 79, score: 31
simulation: 0, epoch: 80, score: 20
simulation: 0, epoch: 81, score: 20
simulation: 0, epoch: 82, score: 24
simulation: 0, epoch: 83, score: 24
simulation: 0, epoch: 84, score: 19
simulation: 0, epoch: 85, score: 24
simulation: 0, epoch: 86, score: 17
simulation: 0, epoch: 87, score: 20
simulation: 0, epoch: 88, score: 22
simulation: 0, epoch: 89, score: 21
simulation: 0, epoch: 90, score: 32
simulation: 0, epoch: 91, score: 34
simulation: 0, epoch: 92, score: 22
simulation: 0, epoch: 93, score: 17
simulation: 0, epoch: 94, score: 24
simulation: 0, epoch: 95, score: 19
simulation: 0, epoch: 96, score: 17
simulation: 0, epoch: 97, score: 19
simulation: 0, epoch: 98, score: 22
simulation: 0, epoch: 99, score: 16
simulation: 1, epoch: 0, score: 11
simulation: 1, epoch: 1, score: 133
simulation: 1, epoch: 2, score: 60
simulation: 1, epoch: 3, score: 27
simulation: 1, epoch: 4, score: 19
simulation: 1, epoch: 5, score: 21
simulation: 1, epoch: 6, score: 22
simulation: 1, epoch: 7, score: 25
simulation: 1, epoch: 8, score: 33
simulation: 1, epoch: 9, score: 21
