===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 1
number of epochs: 300
max score: 200
===================================================================================
types array: ['in', 'mlp', 'out']
weights array: [-1, 0.18636298764849027, -1]
rewards array: [-1, 0.06957097548475873, -1]
punishs array: [-1, -0.1560650012178876, -1]
inner sizes_array: [[], [34, 1], []]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.1
was_loaded: False
===================================================================================
simulation: 0, epoch: 156, score: 200
simulation: 0, epoch: 157, score: 200
simulation: 0, epoch: 158, score: 200
simulation: 0, epoch: 159, score: 200
simulation: 0, epoch: 160, score: 200
simulation: 0, epoch: 161, score: 200
simulation: 0, epoch: 162, score: 200
simulation: 0, epoch: 163, score: 200
simulation: 0, epoch: 164, score: 200
simulation: 0, epoch: 165, score: 200
simulation: 0, epoch: 166, score: 200
simulation: 0, epoch: 167, score: 200
simulation: 0, epoch: 168, score: 200
simulation: 0, epoch: 169, score: 200
simulation: 0, epoch: 170, score: 16
simulation: 0, epoch: 171, score: 200
simulation: 0, epoch: 172, score: 200
simulation: 0, epoch: 173, score: 200
simulation: 0, epoch: 174, score: 200
simulation: 0, epoch: 175, score: 200
simulation: 0, epoch: 176, score: 200
simulation: 0, epoch: 177, score: 200
simulation: 0, epoch: 178, score: 200
simulation: 0, epoch: 179, score: 200
simulation: 0, epoch: 180, score: 200
simulation: 0, epoch: 181, score: 200
simulation: 0, epoch: 182, score: 200
simulation: 0, epoch: 183, score: 200
simulation: 0, epoch: 184, score: 200
simulation: 0, epoch: 185, score: 200
simulation: 0, epoch: 186, score: 200
simulation: 0, epoch: 187, score: 200
simulation: 0, epoch: 188, score: 200
simulation: 0, epoch: 189, score: 200
simulation: 0, epoch: 190, score: 200
simulation: 0, epoch: 191, score: 200
simulation: 0, epoch: 192, score: 200
simulation: 0, epoch: 193, score: 200
simulation: 0, epoch: 194, score: 200
simulation: 0, epoch: 195, score: 200
simulation: 0, epoch: 196, score: 200
simulation: 0, epoch: 197, score: 200
simulation: 0, epoch: 198, score: 200
simulation: 0, epoch: 199, score: 200
simulation: 0, epoch: 200, score: 200
simulation: 0, epoch: 201, score: 200
simulation: 0, epoch: 202, score: 200
simulation: 0, epoch: 203, score: 200
simulation: 0, epoch: 204, score: 200
simulation: 0, epoch: 205, score: 200
simulation: 0, epoch: 206, score: 200
simulation: 0, epoch: 207, score: 200
simulation: 0, epoch: 208, score: 200
simulation: 0, epoch: 209, score: 200
simulation: 0, epoch: 210, score: 200
simulation: 0, epoch: 211, score: 200
simulation: 0, epoch: 212, score: 200
simulation: 0, epoch: 213, score: 200
simulation: 0, epoch: 214, score: 200
simulation: 0, epoch: 215, score: 200
simulation: 0, epoch: 216, score: 200
simulation: 0, epoch: 217, score: 200
simulation: 0, epoch: 218, score: 200
simulation: 0, epoch: 219, score: 200
simulation: 0, epoch: 220, score: 200
simulation: 0, epoch: 221, score: 200
simulation: 0, epoch: 222, score: 200
simulation: 0, epoch: 223, score: 200
simulation: 0, epoch: 224, score: 200
simulation: 0, epoch: 225, score: 200
simulation: 0, epoch: 226, score: 200
simulation: 0, epoch: 227, score: 200
simulation: 0, epoch: 228, score: 200
simulation: 0, epoch: 229, score: 200
simulation: 0, epoch: 230, score: 200
simulation: 0, epoch: 231, score: 200
simulation: 0, epoch: 232, score: 200
simulation: 0, epoch: 233, score: 200
simulation: 0, epoch: 234, score: 200
simulation: 0, epoch: 235, score: 200
simulation: 0, epoch: 236, score: 200
simulation: 0, epoch: 237, score: 200
simulation: 0, epoch: 238, score: 200
simulation: 0, epoch: 239, score: 200
simulation: 0, epoch: 240, score: 200
simulation: 0, epoch: 241, score: 200
simulation: 0, epoch: 242, score: 200
simulation: 0, epoch: 243, score: 200
simulation: 0, epoch: 244, score: 200
