===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 1
number of epochs: 300
max score: 200
===================================================================================
types array: ['in', 'mlp', 'out']
weights array: [-1, 0.18636298764849027, -1]
rewards array: [-1, 0.06957097548475873, -1]
punishs array: [-1, -0.1560650012178876, -1]
inner sizes_array: [[], [34, 1], []]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.1
was_loaded: False
===================================================================================
simulation: 0, epoch: 0, score: 26
simulation: 0, epoch: 1, score: 21
simulation: 0, epoch: 2, score: 17
simulation: 0, epoch: 3, score: 22
simulation: 0, epoch: 4, score: 21
simulation: 0, epoch: 5, score: 24
simulation: 0, epoch: 6, score: 38
simulation: 0, epoch: 7, score: 29
simulation: 0, epoch: 8, score: 32
simulation: 0, epoch: 9, score: 51
simulation: 0, epoch: 10, score: 46
simulation: 0, epoch: 11, score: 60
simulation: 0, epoch: 12, score: 62
simulation: 0, epoch: 13, score: 62
simulation: 0, epoch: 14, score: 63
simulation: 0, epoch: 15, score: 42
simulation: 0, epoch: 16, score: 67
simulation: 0, epoch: 17, score: 32
simulation: 0, epoch: 18, score: 86
simulation: 0, epoch: 19, score: 44
simulation: 0, epoch: 20, score: 48
simulation: 0, epoch: 21, score: 68
simulation: 0, epoch: 22, score: 92
simulation: 0, epoch: 23, score: 69
simulation: 0, epoch: 24, score: 71
simulation: 0, epoch: 25, score: 63
simulation: 0, epoch: 26, score: 49
simulation: 0, epoch: 27, score: 145
simulation: 0, epoch: 28, score: 103
simulation: 0, epoch: 29, score: 120
simulation: 0, epoch: 30, score: 62
simulation: 0, epoch: 31, score: 126
simulation: 0, epoch: 32, score: 81
simulation: 0, epoch: 33, score: 73
simulation: 0, epoch: 34, score: 47
simulation: 0, epoch: 35, score: 52
simulation: 0, epoch: 36, score: 167
simulation: 0, epoch: 37, score: 90
simulation: 0, epoch: 38, score: 51
simulation: 0, epoch: 39, score: 72
simulation: 0, epoch: 40, score: 82
simulation: 0, epoch: 41, score: 65
simulation: 0, epoch: 42, score: 40
simulation: 0, epoch: 43, score: 102
simulation: 0, epoch: 44, score: 113
simulation: 0, epoch: 45, score: 113
simulation: 0, epoch: 46, score: 83
simulation: 0, epoch: 47, score: 108
simulation: 0, epoch: 48, score: 52
simulation: 0, epoch: 49, score: 67
simulation: 0, epoch: 50, score: 49
simulation: 0, epoch: 51, score: 200
simulation: 0, epoch: 52, score: 59
simulation: 0, epoch: 53, score: 40
simulation: 0, epoch: 54, score: 113
simulation: 0, epoch: 55, score: 36
simulation: 0, epoch: 56, score: 72
simulation: 0, epoch: 57, score: 35
simulation: 0, epoch: 58, score: 41
simulation: 0, epoch: 59, score: 38
simulation: 0, epoch: 60, score: 46
simulation: 0, epoch: 61, score: 58
simulation: 0, epoch: 62, score: 57
simulation: 0, epoch: 63, score: 80
simulation: 0, epoch: 64, score: 60
simulation: 0, epoch: 65, score: 58
simulation: 0, epoch: 66, score: 67
simulation: 0, epoch: 67, score: 76
simulation: 0, epoch: 68, score: 73
simulation: 0, epoch: 69, score: 43
simulation: 0, epoch: 70, score: 54
simulation: 0, epoch: 71, score: 42
simulation: 0, epoch: 72, score: 53
simulation: 0, epoch: 73, score: 79
simulation: 0, epoch: 74, score: 50
simulation: 0, epoch: 75, score: 52
simulation: 0, epoch: 76, score: 54
simulation: 0, epoch: 77, score: 53
simulation: 0, epoch: 78, score: 77
simulation: 0, epoch: 79, score: 200
simulation: 0, epoch: 80, score: 69
simulation: 0, epoch: 81, score: 42
simulation: 0, epoch: 82, score: 56
simulation: 0, epoch: 83, score: 50
simulation: 0, epoch: 84, score: 40
simulation: 0, epoch: 85, score: 59
simulation: 0, epoch: 86, score: 102
simulation: 0, epoch: 87, score: 72
simulation: 0, epoch: 88, score: 39
simulation: 0, epoch: 89, score: 45
simulation: 0, epoch: 90, score: 54
simulation: 0, epoch: 91, score: 162
simulation: 0, epoch: 92, score: 48
simulation: 0, epoch: 93, score: 132
simulation: 0, epoch: 94, score: 59
simulation: 0, epoch: 95, score: 72
simulation: 0, epoch: 96, score: 200
simulation: 0, epoch: 97, score: 200
simulation: 0, epoch: 98, score: 184
simulation: 0, epoch: 99, score: 200
simulation: 0, epoch: 100, score: 200
simulation: 0, epoch: 101, score: 200
simulation: 0, epoch: 102, score: 200
simulation: 0, epoch: 103, score: 126
simulation: 0, epoch: 104, score: 200
simulation: 0, epoch: 105, score: 158
simulation: 0, epoch: 106, score: 141
simulation: 0, epoch: 107, score: 143
simulation: 0, epoch: 108, score: 112
simulation: 0, epoch: 109, score: 109
simulation: 0, epoch: 110, score: 107
simulation: 0, epoch: 111, score: 46
simulation: 0, epoch: 112, score: 67
simulation: 0, epoch: 113, score: 70
simulation: 0, epoch: 114, score: 42
simulation: 0, epoch: 115, score: 150
simulation: 0, epoch: 116, score: 100
simulation: 0, epoch: 117, score: 200
simulation: 0, epoch: 118, score: 148
simulation: 0, epoch: 119, score: 200
simulation: 0, epoch: 120, score: 139
simulation: 0, epoch: 121, score: 158
simulation: 0, epoch: 122, score: 200
simulation: 0, epoch: 123, score: 200
simulation: 0, epoch: 124, score: 158
simulation: 0, epoch: 125, score: 176
simulation: 0, epoch: 126, score: 147
simulation: 0, epoch: 127, score: 200
simulation: 0, epoch: 128, score: 200
simulation: 0, epoch: 129, score: 200
simulation: 0, epoch: 130, score: 200
simulation: 0, epoch: 131, score: 200
simulation: 0, epoch: 132, score: 200
simulation: 0, epoch: 133, score: 200
simulation: 0, epoch: 134, score: 200
simulation: 0, epoch: 135, score: 200
simulation: 0, epoch: 136, score: 200
simulation: 0, epoch: 137, score: 200
simulation: 0, epoch: 138, score: 200
simulation: 0, epoch: 139, score: 200
simulation: 0, epoch: 140, score: 200
simulation: 0, epoch: 141, score: 178
simulation: 0, epoch: 142, score: 170
simulation: 0, epoch: 143, score: 200
simulation: 0, epoch: 144, score: 200
simulation: 0, epoch: 145, score: 200
simulation: 0, epoch: 146, score: 200
simulation: 0, epoch: 147, score: 200
simulation: 0, epoch: 148, score: 200
simulation: 0, epoch: 149, score: 200
simulation: 0, epoch: 150, score: 200
simulation: 0, epoch: 151, score: 200
simulation: 0, epoch: 152, score: 200
simulation: 0, epoch: 153, score: 200
simulation: 0, epoch: 154, score: 180
simulation: 0, epoch: 155, score: 200
simulation: 0, epoch: 156, score: 200
simulation: 0, epoch: 157, score: 200
simulation: 0, epoch: 158, score: 197
simulation: 0, epoch: 159, score: 200
simulation: 0, epoch: 160, score: 165
simulation: 0, epoch: 161, score: 200
simulation: 0, epoch: 162, score: 200
simulation: 0, epoch: 163, score: 200
simulation: 0, epoch: 164, score: 200
simulation: 0, epoch: 165, score: 200
simulation: 0, epoch: 166, score: 152
simulation: 0, epoch: 167, score: 196
simulation: 0, epoch: 168, score: 119
simulation: 0, epoch: 169, score: 149
simulation: 0, epoch: 170, score: 168
simulation: 0, epoch: 171, score: 183
simulation: 0, epoch: 172, score: 138
simulation: 0, epoch: 173, score: 80
simulation: 0, epoch: 174, score: 86
simulation: 0, epoch: 175, score: 158
simulation: 0, epoch: 176, score: 147
simulation: 0, epoch: 177, score: 146
simulation: 0, epoch: 178, score: 171
simulation: 0, epoch: 179, score: 200
simulation: 0, epoch: 180, score: 200
simulation: 0, epoch: 181, score: 154
simulation: 0, epoch: 182, score: 168
simulation: 0, epoch: 183, score: 200
simulation: 0, epoch: 184, score: 200
simulation: 0, epoch: 185, score: 200
simulation: 0, epoch: 186, score: 179
simulation: 0, epoch: 187, score: 200
simulation: 0, epoch: 188, score: 200
simulation: 0, epoch: 189, score: 200
